Harvest Hope Community Food Bank  |  Distribution History,,,,,,,,,
"To log a distribution: enter Date (col B), Pantry ID (col C), Item ID (col E), and Qty Distributed (col I). Other fields fill automatically.",,,,,,,,,
,,,,,,,,,
Dist. ID,Date,Pantry ID,Pantry Name,Item ID,Item Name,Category,Unit,Qty Distributed,Notes
DIST-0001,07/11/2025,PP001,Riverside Community Pantry,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),19,
DIST-0002,07/11/2025,PP001,Riverside Community Pantry,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),6,
DIST-0003,07/11/2025,PP001,Riverside Community Pantry,FI007,Peanut Butter,Canned Protein,Jar (16 oz),17,
DIST-0004,07/11/2025,PP001,Riverside Community Pantry,FI010,Canned Peas,Canned Vegetables,Can (15 oz),27,
DIST-0005,07/11/2025,PP001,Riverside Community Pantry,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),6,
DIST-0006,07/11/2025,PP001,Riverside Community Pantry,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),21,
DIST-0007,07/11/2025,PP001,Riverside Community Pantry,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),21,
DIST-0008,07/11/2025,PP001,Riverside Community Pantry,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),11,
DIST-0009,07/15/2025,PP001,Riverside Community Pantry,FI010,Canned Peas,Canned Vegetables,Can (15 oz),28,
DIST-0010,07/15/2025,PP001,Riverside Community Pantry,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),14,
DIST-0011,07/15/2025,PP001,Riverside Community Pantry,FI046,Yellow Onions (3 lb),Fresh Produce,Bag (3 lb),12,
DIST-0012,07/15/2025,PP001,Riverside Community Pantry,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),18,
DIST-0013,07/15/2025,PP001,Riverside Community Pantry,FI023,Breakfast Cereal,Breakfast,Box (18 oz),11,
DIST-0014,07/15/2025,PP001,Riverside Community Pantry,FI026,Canned Chicken Noodle Soup,Soups & Meals,Can (10.75 oz),17,
DIST-0015,07/15/2025,PP001,Riverside Community Pantry,FI033,Baby Food - Fruit,Baby & Infant,Jar (4 oz),2,
DIST-0016,07/15/2025,PP001,Riverside Community Pantry,FI004,Canned Black Beans,Canned Protein,Can (15 oz),13,
DIST-0017,07/15/2025,PP001,Riverside Community Pantry,FI020,Instant Oatmeal,Dry Goods,Box (18 oz),17,
DIST-0018,07/15/2025,PP001,Riverside Community Pantry,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),10,
DIST-0019,07/15/2025,PP004,Oakdale School Family Pantry,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),5,
DIST-0020,07/15/2025,PP004,Oakdale School Family Pantry,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),13,
DIST-0021,07/15/2025,PP004,Oakdale School Family Pantry,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),18,
DIST-0022,07/15/2025,PP004,Oakdale School Family Pantry,FI013,Canned Peaches,Canned Fruit,Can (15 oz),13,
DIST-0023,07/15/2025,PP004,Oakdale School Family Pantry,FI026,Canned Chicken Noodle Soup,Soups & Meals,Can (10.75 oz),9,
DIST-0024,07/15/2025,PP001,Riverside Community Pantry,FI013,Canned Peaches,Canned Fruit,Can (15 oz),8,
DIST-0025,07/15/2025,PP001,Riverside Community Pantry,FI042,Apples,Fresh Produce,Bag (3 lb),12,
DIST-0026,07/15/2025,PP001,Riverside Community Pantry,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),10,
DIST-0027,07/15/2025,PP001,Riverside Community Pantry,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),30,
DIST-0028,07/15/2025,PP001,Riverside Community Pantry,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),18,
DIST-0029,07/15/2025,PP001,Riverside Community Pantry,FI022,Cornmeal (2 lb),Dry Goods,Bag (2 lb),16,
DIST-0030,07/16/2025,PP004,Oakdale School Family Pantry,FI014,Canned Pears,Canned Fruit,Can (15 oz),9,
DIST-0031,07/16/2025,PP004,Oakdale School Family Pantry,FI012,Canned Mixed Vegetables,Canned Vegetables,Can (15 oz),14,
DIST-0032,07/16/2025,PP004,Oakdale School Family Pantry,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),10,
DIST-0033,07/16/2025,PP004,Oakdale School Family Pantry,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),5,
DIST-0034,07/16/2025,PP004,Oakdale School Family Pantry,FI029,Canned Chili with Beans,Soups & Meals,Can (15 oz),6,
DIST-0035,07/16/2025,PP004,Oakdale School Family Pantry,FI010,Canned Peas,Canned Vegetables,Can (15 oz),14,
DIST-0036,07/16/2025,PP004,Oakdale School Family Pantry,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),9,
DIST-0037,07/16/2025,PP004,Oakdale School Family Pantry,FI040,Whole Wheat Bread,Bread & Bakery,Loaf,6,
DIST-0038,07/16/2025,PP004,Oakdale School Family Pantry,FI043,Bananas,Fresh Produce,Bunch (~7),9,
DIST-0039,07/16/2025,PP004,Oakdale School Family Pantry,FI042,Apples,Fresh Produce,Bag (3 lb),7,
DIST-0040,07/16/2025,PP001,Riverside Community Pantry,FI025,Granola Bars,Breakfast,Box (8 bars),13,
DIST-0041,07/16/2025,PP001,Riverside Community Pantry,FI046,Yellow Onions (3 lb),Fresh Produce,Bag (3 lb),8,
DIST-0042,07/16/2025,PP001,Riverside Community Pantry,FI023,Breakfast Cereal,Breakfast,Box (18 oz),11,
DIST-0043,07/16/2025,PP001,Riverside Community Pantry,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),3,
DIST-0044,07/16/2025,PP001,Riverside Community Pantry,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),3,
DIST-0045,07/16/2025,PP002,St. Augustine's Shelter Pantry,FI004,Canned Black Beans,Canned Protein,Can (15 oz),9,
DIST-0046,07/16/2025,PP002,St. Augustine's Shelter Pantry,FI031,Infant Formula (Powder),Baby & Infant,Can (12.4 oz),1,
DIST-0047,07/16/2025,PP002,St. Augustine's Shelter Pantry,FI034,Diapers - Size 1-2,Baby & Infant,Pack (36 ct),1,
DIST-0048,07/16/2025,PP002,St. Augustine's Shelter Pantry,FI023,Breakfast Cereal,Breakfast,Box (18 oz),6,
DIST-0049,07/16/2025,PP002,St. Augustine's Shelter Pantry,FI038,Cheddar Cheese (block),Dairy & Refrigerated,Block (16 oz),1,
DIST-0050,07/16/2025,PP002,St. Augustine's Shelter Pantry,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),6,
DIST-0051,07/16/2025,PP002,St. Augustine's Shelter Pantry,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),6,
DIST-0052,07/16/2025,PP002,St. Augustine's Shelter Pantry,FI007,Peanut Butter,Canned Protein,Jar (16 oz),10,
DIST-0053,07/16/2025,PP002,St. Augustine's Shelter Pantry,FI016,White Rice (5 lb),Dry Goods,Bag (5 lb),6,
