Harvest Hope Community Food Bank  |  Donations Log,,,,,,,,,,,
"To log a new donation: enter Date (col B), Item ID (col C), Qty Received (col G), Expiration Date (col H), and Donor Type (col K). Other fields fill automatically.",,,,,,,,,,,
,,,,,,,,,,,
Donation ID,Date,Item ID,Item Name,Category,Unit,Qty Received,Expiration Date,Days Until Expiry,Expiry Status,Donor Type,Notes
DON-0001,06/25/2025,FI048,Orange Juice (64 oz),Beverages,Bottle (64 oz),9,6/30/2025,-361,EXPIRED,School Drive,
DON-0002,06/25/2025,FI007,Peanut Butter,Canned Protein,Jar (16 oz),37,3/2/2026,-116,EXPIRED,School Drive,
DON-0003,06/25/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),40,8/31/2027,431,OK,School Drive,
DON-0004,06/25/2025,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),52,1/4/2028,557,OK,School Drive,
DON-0005,06/29/2025,FI042,Apples,Fresh Produce,Bag (3 lb),39,7/8/2025,-353,EXPIRED,Corporate Drive,
DON-0006,06/29/2025,FI046,Yellow Onions (3 lb),Fresh Produce,Bag (3 lb),41,7/9/2025,-352,EXPIRED,Corporate Drive,
DON-0007,06/29/2025,FI045,Potatoes (5 lb),Fresh Produce,Bag (5 lb),37,8/9/2025,-321,EXPIRED,Corporate Drive,
DON-0008,06/29/2025,FI013,Canned Peaches,Canned Fruit,Can (15 oz),42,4/9/2027,287,OK,Corporate Drive,
DON-0009,06/29/2025,FI027,Canned Tomato Soup,Soups & Meals,Can (10.75 oz),72,6/8/2027,347,OK,Corporate Drive,
DON-0010,06/29/2025,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),26,7/23/2027,392,OK,Corporate Drive,
DON-0011,06/29/2025,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),10,5/12/2028,686,OK,Corporate Drive,
DON-0012,07/02/2025,FI041,Flour Tortillas,Bread & Bakery,Pack (20 ct),30,8/1/2025,-329,EXPIRED,Government Surplus,
DON-0013,07/02/2025,FI023,Breakfast Cereal,Breakfast,Box (18 oz),17,2/5/2026,-141,EXPIRED,Government Surplus,
DON-0014,07/02/2025,FI011,Canned Diced Tomatoes,Canned Vegetables,Can (14.5 oz),46,3/9/2027,256,OK,Government Surplus,
DON-0015,07/02/2025,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),34,4/1/2027,279,OK,Government Surplus,
DON-0016,07/02/2025,FI024,Pancake Mix,Breakfast,Box (32 oz),14,4/11/2026,-76,EXPIRED,Government Surplus,
DON-0017,07/04/2025,FI025,Granola Bars,Breakfast,Box (8 bars),36,12/21/2025,-187,EXPIRED,Church Drive,
DON-0018,07/04/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),19,1/16/2026,-161,EXPIRED,Church Drive,
DON-0019,07/04/2025,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),25,2/2/2026,-144,EXPIRED,Church Drive,
DON-0020,07/04/2025,FI008,Canned Corn,Canned Vegetables,Can (15 oz),91,9/23/2026,89,OK,Church Drive,
DON-0021,07/04/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),72,3/28/2028,641,OK,Church Drive,
DON-0022,07/04/2025,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),7,6/12/2028,717,OK,Church Drive,
DON-0023,07/04/2025,FI030,Canned Beef Stew,Soups & Meals,Can (20 oz),53,6/24/2028,729,OK,Church Drive,
DON-0024,07/12/2025,FI036,Milk (1 gallon),Dairy & Refrigerated,Gallon,22,7/17/2025,-344,EXPIRED,Restaurant Partner,
DON-0025,07/12/2025,FI044,Baby Carrots,Fresh Produce,Bag (1 lb),29,7/30/2025,-331,EXPIRED,Restaurant Partner,
DON-0026,07/12/2025,FI033,Baby Food - Fruit,Baby & Infant,Jar (4 oz),8,12/20/2025,-188,EXPIRED,Church Drive,
DON-0027,07/12/2025,FI032,Baby Food - Vegetable,Baby & Infant,Jar (4 oz),17,2/26/2026,-120,EXPIRED,Church Drive,
DON-0028,07/12/2025,FI047,Apple Juice (64 oz),Beverages,Bottle (64 oz),26,5/24/2026,-33,EXPIRED,Restaurant Partner,
DON-0029,07/12/2025,FI017,Brown Rice (5 lb),Dry Goods,Bag (5 lb),45,5/25/2026,-32,EXPIRED,Restaurant Partner,
DON-0030,07/12/2025,FI009,Canned Green Beans,Canned Vegetables,Can (14.5 oz),90,11/1/2026,128,OK,Church Drive,
DON-0031,07/12/2025,FI001,Canned Tuna,Canned Protein,Can (5 oz),41,12/20/2026,177,OK,Restaurant Partner,
DON-0032,07/12/2025,FI008,Canned Corn,Canned Vegetables,Can (15 oz),99,4/7/2027,285,OK,Restaurant Partner,
DON-0033,07/12/2025,FI006,Canned Chickpeas,Canned Protein,Can (15 oz),58,8/10/2027,410,OK,Church Drive,
DON-0034,07/12/2025,FI035,Diapers - Size 3-4,Baby & Infant,Pack (32 ct),8,10/15/2027,476,OK,Restaurant Partner,
DON-0035,07/14/2025,FI021,All-Purpose Flour (5 lb),Dry Goods,Bag (5 lb),24,7/11/2026,15,NOTICE,Community Drive,
DON-0036,07/14/2025,FI050,Pasta Sauce,Pantry Staples,Jar (24 oz),21,7/27/2026,31,OK,Community Drive,
DON-0037,07/14/2025,FI018,Pasta - Spaghetti,Dry Goods,Box (16 oz),37,3/31/2027,278,OK,Community Drive,
DON-0038,07/14/2025,FI004,Canned Black Beans,Canned Protein,Can (15 oz),57,6/1/2027,340,OK,Community Drive,
DON-0039,07/14/2025,FI015,Canned Mandarin Oranges,Canned Fruit,Can (11 oz),31,12/7/2027,529,OK,Community Drive,
DON-0040,07/14/2025,FI026,Canned Chicken Noodle Soup,Soups & Meals,Can (10.75 oz),30,2/8/2028,592,OK,Community Drive,
DON-0041,07/14/2025,FI005,Canned Kidney Beans,Canned Protein,Can (15 oz),58,3/2/2028,615,OK,Community Drive,
DON-0042,07/14/2025,FI003,Canned Salmon,Canned Protein,Can (14.75 oz),47,5/2/2028,676,OK,Community Drive,
DON-0043,07/15/2025,FI024,Pancake Mix,Breakfast,Box (32 oz),19,1/13/2026,-164,EXPIRED,School Drive,
DON-0044,07/15/2025,FI039,White Sandwich Bread,Bread & Bakery,Loaf,20,7/17/2025,-344,EXPIRED,School Drive,
DON-0045,07/15/2025,FI033,Baby Food - Fruit,Baby & Infant,Jar (4 oz),19,4/15/2026,-72,EXPIRED,School Drive,
